CharacteristicName,n_sites,n_records
"Depth, Secchi disk depth",128488,3008772
"Depth, Secchi disk depth (choice list)",11671,54450
Secchi Reading Condition (choice list),126,2490
"Water transparency, Secchi disc",22,852
