CharacteristicName,n_sites,n_records
"Depth, Secchi disk depth",127503,2978619
"Depth, Secchi disk depth (choice list)",11671,54450
Secchi Reading Condition (choice list),126,2490
"Water transparency, Secchi disc",22,852
