CharacteristicName,n_sites,n_records
Chlorophyll a,68125,1578418
Chlorophyll a (probe relative fluorescence),4582,1248827
Chlorophyll a (probe),2195,244978
Chlorophyll a - Phytoplankton (suspended),1120,4033
"Chlorophyll a, corrected for pheophytin",73078,892431
"Chlorophyll a, free of pheophytin",3451,94657
"Chlorophyll a, uncorrected for pheophytin",42622,544174
