parameter,local_path,drive_link
chlorophyll,2_download/out/p2_wqp_data_aoi_chlorophyll.feather,https://drive.google.com/file/d/10EoJ-6HUQvEQ5CQFp6cfUsO5n1pkYz44/view?usp=drivesdk
doc,2_download/out/p2_wqp_data_aoi_doc.feather,https://drive.google.com/file/d/1jlLQHORXUhjYA6A26JqpJlL4ueSvo4yr/view?usp=drivesdk
tss,2_download/out/p2_wqp_data_aoi_tss.feather,https://drive.google.com/file/d/1Lc-_jg2GH6uYeqcF8LD6WtQg53Qk2Lqi/view?usp=drivesdk
sdd,2_download/out/p2_wqp_data_aoi_sdd.feather,https://drive.google.com/file/d/1ZXRv84Q6RSrVazzCqUAP_v_YbINKY9Ph/view?usp=drivesdk
